DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.3379492530769297,0.8320941711867192,0.4391025641025641,0.899137091281074,0.38992964686702564,0.4,0.1,0.55,0.05,0.5,0.08,0.5,0.07,0.30000000000000004,0.5,0.42,0.43
5A12_Ang2_fitness_4ZFG,0.11988943540191996,0.6562519372636538,0.19241212572066207,0.685593539121204,0.22465653980062178,0.5,0.0,0.4,0.05,0.34,0.14,0.26595744680851063,0.11702127659574468,0.5,0.35000000000000003,0.2,0.14893617021276595
5A12_VEGF_fitness_4ZFF,-0.16833873103583544,0.4973419869047176,-0.02158361155316672,0.4202757866776522,0.09530512310465651,0.0,0.0,0.1,0.0,0.1,0.02,0.11,0.02,0.0,0.1,0.08,0.09
Z-domain_ZpA963_HL1_fitness_2M5A,-0.016006879852330524,0.5819225311454885,0.1177814338300567,0.5935675192510318,0.16530601910982978,0.4,0.2,0.45,0.1,0.38,0.08,0.31,0.06,0.2,0.35,0.3,0.25
Z-domain_ZpA963_HL2_fitness_2M5A,0.27096834355007504,0.6199074074074074,0.05555555555555555,0.6318104454659972,0.13730613143984877,0.0,0.1,0.05,0.05,0.12,0.06,0.15,0.05,-0.1,0.0,0.06,0.09999999999999999
Z-domain_ZSPA-1_LL1_fitness_1LP1,-0.022271765538604823,0.4194267461199819,-0.08100577905894589,0.4872959622465523,0.0783447047422897,0.0,0.1,0.0,0.1,0.0,0.08,0.0,0.1,-0.1,-0.1,-0.08,-0.1
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.03176113893847703,0.5842571043606075,0.023914904344655492,0.48965358074775694,0.1261817063488509,0.1,0.0,0.1,0.0,0.14,0.1,0.18,0.11,0.1,0.1,0.04000000000000001,0.06999999999999999
CXCR4_CXCL12_enrich_8U4O,0.14050273673967043,0.5168780658998966,0.031905291055384984,0.599411191835423,0.110799028325202,0.1,0.1,0.1,0.15,0.12,0.16,0.16,0.18,0.0,-0.04999999999999999,-0.04000000000000001,-0.01999999999999999
hYAP65_peptide_FunctioncalScore_1JMQ,0.06404631874350347,0.5391628062503496,-0.006717488349894088,0.5124631050005083,0.10480130703835477,0.0,0.1,0.0,0.15,0.02,0.2,0.06,0.2,-0.1,-0.15,-0.18000000000000002,-0.14
GB1_IgG-Fc_fitness_1FCC,0.42456083971449965,0.6278378469060233,0.05300289109808996,0.6539197905170366,0.13498392984231425,0.0,0.3,0.0,0.35,0.02,0.26,0.12,0.25,-0.3,-0.35,-0.24000000000000002,-0.13
GB1_IgG-Fc_fitness_1FCC_2016,0.44658254073803705,0.7656577798950384,0.2084802792808089,0.7619103846482688,0.24917614030639654,0.4,0.3,0.5,0.25,0.42,0.24,0.43,0.25,0.10000000000000003,0.25,0.18,0.18
