DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.31656027175320084,0.8157487878040763,0.4658119658119658,0.8914014816713519,0.4218294736886782,0.5,0.0,0.55,0.0,0.6,0.02,0.58,0.01,0.5,0.55,0.58,0.57
5A12_Ang2_fitness_4ZFG,0.12415220394078098,0.5948608269791086,0.06366623271960821,0.6434266838317526,0.14039828642811905,0.1,0.0,0.05,0.1,0.22,0.08,0.1595744680851064,0.0851063829787234,0.1,-0.05,0.14,0.07446808510638299
5A12_VEGF_fitness_4ZFF,0.0947620267646018,0.5377184079416552,-0.0007765697176641986,0.5004608151675743,0.10387297631268967,0.0,0.2,0.0,0.2,0.08,0.22,0.05,0.24,-0.2,-0.2,-0.14,-0.19
Z-domain_ZpA963_HL1_fitness_2M5A,0.42641791691629594,0.8276802611315615,0.35838649733095035,0.8803263106733958,0.43135110010812283,0.9,0.0,0.9,0.0,0.76,0.0,0.62,0.0,0.9,0.9,0.76,0.62
Z-domain_ZpA963_HL2_fitness_2M5A,0.3094213680988384,0.707962962962963,0.25925925925925924,0.7535153954632013,0.24709457363808698,0.2,0.1,0.35,0.05,0.32,0.02,0.3333333333333333,0.03333333333333333,0.1,0.3,0.3,0.3
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.14150963684700552,0.5445750323578578,-0.04605578053093824,0.5518314474867819,0.10083113872537129,0.2,0.0,0.1,0.05,0.04,0.06,0.05,0.06,0.2,0.05,-0.019999999999999997,-0.009999999999999995
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.2573219333277649,0.7308532639039229,0.12927643198158678,0.6991933401992395,0.19548834981452512,0.2,0.0,0.2,0.0,0.24,0.0,0.28,0.01,0.2,0.2,0.24,0.27
CXCR4_CXCL12_enrich_8U4O,0.1515090045738857,0.5398560757762676,0.0398567876380923,0.6083884189256001,0.1204125147177246,0.2,0.1,0.2,0.05,0.22,0.02,0.2,0.04,0.1,0.15000000000000002,0.2,0.16
hYAP65_peptide_FunctioncalScore_1JMQ,0.04759747127838083,0.5436566574221279,-0.005510393040122033,0.5063333288568056,0.10595908563058816,0.0,0.0,0.0,0.05,0.1,0.06,0.09,0.09,0.0,-0.05,0.04000000000000001,0.0
GB1_IgG-Fc_fitness_1FCC,0.5918987151168137,0.7343832773696328,0.14415001715382514,0.7269217757369812,0.19799968859557993,0.2,0.0,0.15,0.0,0.14,0.0,0.17,0.0,0.2,0.15,0.14,0.17
GB1_IgG-Fc_fitness_1FCC_2016,0.5573597450549419,0.7981291934884718,0.2425456849826475,0.8422107388163205,0.2787336313333163,0.1,0.0,0.35,0.0,0.4,0.0,0.25,0.0,0.1,0.35,0.4,0.25
SARS2-RBD_ACE2_deltaKd_6M0J,0.7321286985172655,0.8861600699646741,0.4210611760885984,0.8703749101184729,0.4290887016054511,0.6,0.0,0.65,0.0,0.56,0.0,0.51,0.0,0.6,0.65,0.56,0.51
KRAS_DARPinK27_norfitness_5O2S,0.5564012793884496,0.7002240012231957,0.15838795976612785,0.8091859367041649,0.1929248651905251,0.1,0.0,0.25,0.0,0.28,0.0,0.3,0.0,0.1,0.25,0.28,0.3
KRAS_PICK3CG-RBD_norfitness_1HE8,0.37678541813874417,0.6126127686481425,0.036920909184395716,0.6700933286200546,0.12948485452013658,0.1,0.1,0.05,0.05,0.18,0.04,0.15,0.02,0.0,0.0,0.13999999999999999,0.13
KRAS_RAF1_norfitness_6VJJ,0.4866123582389135,0.7618369802134737,0.2840681010868336,0.834823428773894,0.3234001811890625,0.7,0.0,0.65,0.0,0.62,0.0,0.6,0.0,0.7,0.65,0.62,0.6
KRAS_RAF1-RBD_norfitness_6VJJ,0.5329693843121727,0.7672960388621733,0.28448795821513023,0.8483413697002375,0.31040867949942313,0.5,0.0,0.6,0.0,0.66,0.0,0.64,0.0,0.5,0.6,0.66,0.64
KRAS_RALGDS-RBD_norfitness_1LFD,0.6293855953126805,0.7897859080935722,0.29695565940007473,0.8753202902933794,0.31861072924414746,0.8,0.0,0.65,0.0,0.5,0.0,0.53,0.0,0.8,0.65,0.5,0.53
KRAS_SOS1_norfitness_8BE4,0.27914819853507294,0.6001000190593805,0.011237232879427251,0.5363995064290857,0.12453465857626586,0.0,0.1,0.1,0.05,0.08,0.04,0.11,0.06,-0.1,0.05,0.04,0.05
BH3_Mcl-1_normed_3KZ0,0.29537311950299283,0.6443958402112909,0.10217893694288543,0.6398387279575948,0.1874991089732824,0.3,0.0,0.3,0.0,0.2,0.0,0.19607843137254902,0.0,0.3,0.3,0.2,0.19607843137254902
BH3_Bcl-xL_normed_1PQ1,0.05354307248293228,0.620419280290525,0.0808022449653351,0.6371200450445946,0.1549838527655717,0.1,0.0,0.2,0.05,0.16,0.06,0.1568627450980392,0.058823529411764705,0.1,0.15000000000000002,0.1,0.09803921568627451
HLA-A2_TAPBPR_meanscore_5WER,0.2716711510709811,0.5984087538379885,0.0014593036809968105,0.6028766295651645,0.1257834467958733,0.3,0.1,0.2,0.05,0.14,0.06,0.09,0.05,0.19999999999999998,0.15000000000000002,0.08000000000000002,0.039999999999999994
PSD95_CRIPT_1BE9,0.41156196920670307,0.5514625204057056,0.022296857298329184,0.6677395592645771,0.11829611671881005,0.1,0.0,0.1,0.0,0.08,0.0,0.1,0.0,0.1,0.1,0.08,0.1
PSD95_Tm2F_1BE9,0.23555167126054896,0.4934501030320872,-0.019906156055699772,0.5661598715008755,0.09611472398409829,0.0,0.0,0.05,0.0,0.08,0.0,0.11,0.0,0.0,0.05,0.08,0.11
ACE2_SARS2-RBD_enrich_6M17,0.2439484607436213,0.5678802989045274,0.03582629366278759,0.6049106714827769,0.12149620775547337,0.0,0.1,0.1,0.05,0.14,0.04,0.15,0.04,-0.1,0.05,0.1,0.10999999999999999
CD19_FMC63_Fitness_7URV,0.32017631305062816,0.6465566625855077,0.028430536234417634,0.6377301181517728,0.1353794549723828,0.1,0.0,0.1,0.0,0.08,0.0,0.06,0.02,0.1,0.1,0.08,0.039999999999999994
