DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.24623265219774534,0.7605270997698882,0.3055555555555556,0.795036860929878,0.3305260483162644,0.5,0.0,0.6,0.0,0.56,0.0,0.46,0.01,0.5,0.6,0.56,0.45
5A12_Ang2_fitness_4ZFG,0.17376705775378318,0.6594631454962496,0.1572996094476474,0.6830359226777057,0.18836055511595917,0.3,0.0,0.3,0.1,0.2,0.04,0.24468085106382978,0.031914893617021274,0.3,0.19999999999999998,0.16,0.2127659574468085
5A12_VEGF_fitness_4ZFF,-0.04920757726310949,0.46592796352205945,-0.042019099070178124,0.40069182706282863,0.08711503942295297,0.0,0.4,0.0,0.35,0.0,0.32,0.02,0.31,-0.4,-0.35,-0.32,-0.29
Z-domain_ZpA963_HL1_fitness_2M5A,0.06272831927030235,0.5980262578200721,0.029941490012270134,0.5585281334523443,0.12261625183070488,0.0,0.0,0.1,0.0,0.08,0.0,0.15,0.03,0.0,0.1,0.08,0.12
Z-domain_ZpA963_HL2_fitness_2M5A,0.29876917154684246,0.6627777777777778,0.018518518518518517,0.5971303532136079,0.16006999814953426,0.3,0.0,0.2,0.15,0.1,0.06,0.11666666666666667,0.06666666666666667,0.3,0.05000000000000002,0.04000000000000001,0.05
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.08017671227470469,0.5665674505629743,-0.01037256525059476,0.5263743696441241,0.10966775644442828,0.0,0.2,0.0,0.25,0.02,0.16,0.02,0.14,-0.2,-0.25,-0.14,-0.12000000000000001
Z-domain_ZSPA-1_LL2_fitness_1LP1,-0.03478401939547842,0.47034378097831664,-0.059579136424233445,0.44669300548339436,0.08744692946747959,0.0,0.2,0.0,0.15,0.0,0.12,0.01,0.12,-0.2,-0.15,-0.12,-0.11
CXCR4_CXCL12_enrich_8U4O,0.13267037331304427,0.4530865260929393,0.01997804618132402,0.615890763879023,0.1059345824656835,0.6,0.0,0.35,0.0,0.24,0.02,0.15,0.03,0.6,0.35,0.22,0.12
hYAP65_peptide_FunctioncalScore_1JMQ,0.19577805471253115,0.6328849499209882,0.06329403961688512,0.6420191184055598,0.14298064697360616,0.1,0.0,0.15,0.0,0.12,0.0,0.16,0.0,0.1,0.15,0.12,0.16
GB1_IgG-Fc_fitness_1FCC,-0.006753731901374366,0.44409416848778,-0.03611076889078499,0.5067649540494829,0.08523539502969196,0.0,0.0,0.0,0.0,0.02,0.12,0.01,0.16,0.0,0.0,-0.09999999999999999,-0.15
