DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.19496771973932228,0.7344135231755423,0.25747863247863245,0.7371522991102984,0.2632145199946145,0.4,0.0,0.4,0.0,0.36,0.0,0.39,0.03,0.4,0.4,0.36,0.36
5A12_Ang2_fitness_4ZFG,0.16079438338087146,0.6466183125658669,0.1221870931746327,0.6499915826703307,0.18242389109816112,0.3,0.1,0.25,0.05,0.26,0.04,0.2127659574468085,0.0425531914893617,0.19999999999999998,0.2,0.22,0.1702127659574468
5A12_VEGF_fitness_4ZFF,-0.07376394619504476,0.5105237988743523,-0.03756044724828472,0.35497232211518703,0.09431034342335731,0.0,0.5,0.0,0.55,0.0,0.46,0.0,0.4,-0.5,-0.55,-0.46,-0.4
Z-domain_ZpA963_HL1_fitness_2M5A,0.05988627618352577,0.5727837155749143,0.014664978043959425,0.5458242884731555,0.11612175179784726,0.0,0.0,0.05,0.0,0.08,0.0,0.11,0.05,0.0,0.05,0.08,0.06
Z-domain_ZpA963_HL2_fitness_2M5A,0.2581071130227338,0.6408024691358024,0.05555555555555555,0.615550194319273,0.15511561347542602,0.2,0.2,0.2,0.1,0.12,0.1,0.15,0.08333333333333333,0.0,0.1,0.01999999999999999,0.06666666666666667
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.136443809361112,0.6133677254391688,0.028243517039092017,0.5739945335823778,0.1269529291009567,0.1,0.2,0.1,0.1,0.06,0.04,0.07,0.06,-0.1,0.0,0.019999999999999997,0.010000000000000009
Z-domain_ZSPA-1_LL2_fitness_1LP1,-0.00880414062104334,0.4783539902920365,-0.0675309498307943,0.4626128506438746,0.08841731527996045,0.0,0.0,0.0,0.1,0.0,0.12,0.01,0.11,0.0,-0.1,-0.12,-0.1
CXCR4_CXCL12_enrich_8U4O,0.11851779818183927,0.4500054101498683,0.006062927161586227,0.582955932304124,0.09947898492267379,0.3,0.0,0.2,0.0,0.14,0.06,0.14,0.08,0.3,0.2,0.08000000000000002,0.06000000000000001
hYAP65_peptide_FunctioncalScore_1JMQ,0.2572360651074399,0.6510086593857972,0.08200401691835198,0.6502199004725285,0.15483936091755568,0.2,0.2,0.25,0.1,0.22,0.04,0.22,0.03,0.0,0.15,0.18,0.19
GB1_IgG-Fc_fitness_1FCC,-0.1516491881213286,0.3657932541923637,-0.05285696002963397,0.45728668459291494,0.07404038257759976,0.0,0.5,0.0,0.4,0.0,0.26,0.0,0.26,-0.5,-0.4,-0.26,-0.26
GB1_IgG-Fc_fitness_1FCC_2016,0.059669806242918365,0.4928040386163513,-0.035488140966182274,0.5101431997385065,0.09284916841899363,0.0,0.2,0.0,0.1,0.0,0.06,0.01,0.09,-0.2,-0.1,-0.06,-0.08
SARS2-RBD_ACE2_deltaKd_6M0J,0.093572104723807,0.5428712645168433,-0.04107420089330991,0.48410924093670604,0.10154106486732145,0.0,0.0,0.0,0.15,0.02,0.22,0.02,0.21,0.0,-0.15,-0.2,-0.19
KRAS_DARPinK27_norfitness_5O2S,0.5542385413053796,0.6997894953869018,0.16634915474131312,0.8236405226601002,0.2042873756145152,0.4,0.0,0.4,0.0,0.4,0.0,0.3,0.0,0.4,0.4,0.4,0.3
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5548267381341747,0.6750965895614898,0.15723349230130004,0.8340245014703412,0.18803281650453293,0.2,0.0,0.3,0.0,0.28,0.0,0.31,0.0,0.2,0.3,0.28,0.31
KRAS_RAF1_norfitness_6VJJ,0.5699261194935152,0.8062094289941557,0.3559241790683264,0.8839515221728518,0.3761799391218254,0.8,0.0,0.9,0.0,0.66,0.0,0.61,0.0,0.8,0.9,0.66,0.61
KRAS_RAF1-RBD_norfitness_6VJJ,0.6133969304888804,0.777018404436718,0.2748966439820891,0.8684588190818522,0.3034393394999565,0.7,0.0,0.7,0.0,0.6,0.0,0.53,0.0,0.7,0.7,0.6,0.53
KRAS_RALGDS-RBD_norfitness_1LFD,0.6004044132772619,0.7763177965626035,0.2843915414250955,0.8677240906592728,0.33897789882290996,0.9,0.0,0.8,0.0,0.84,0.0,0.83,0.0,0.9,0.8,0.84,0.83
KRAS_SOS1_norfitness_8BE4,0.5449704256909257,0.6971032567988614,0.16449832113177745,0.8305159606871718,0.20146573350439845,0.5,0.0,0.35,0.0,0.38,0.0,0.41,0.0,0.5,0.35,0.38,0.41
BH3_Mcl-1_normed_3KZ0,0.4925653843376141,0.8690161769560911,0.27319247276328823,0.725310813975988,0.35844317301092093,0.4,0.1,0.35,0.15,0.36,0.14,0.35294117647058826,0.13725490196078433,0.30000000000000004,0.19999999999999998,0.21999999999999997,0.21568627450980393
BH3_Bcl-xL_normed_1PQ1,0.41302985307412815,0.6002806206668868,-0.047457906899966984,0.6239248812252794,0.12001572975491906,0.0,0.0,0.0,0.0,0.06,0.0,0.058823529411764705,0.0,0.0,0.0,0.06,0.058823529411764705
HLA-A2_TAPBPR_meanscore_5WER,0.3196930480767703,0.5967153266568453,0.05122046794938567,0.6722284865895329,0.1391900466776292,0.4,0.0,0.25,0.0,0.18,0.02,0.19,0.03,0.4,0.25,0.16,0.16
PSD95_CRIPT_1BE9,0.5510572258131053,0.6429782071524786,0.0011953506213147073,0.6889503045112417,0.12952759118982923,0.1,0.0,0.15,0.0,0.1,0.0,0.06,0.0,0.1,0.15,0.1,0.06
PSD95_Tm2F_1BE9,0.28508167045546423,0.39638361834417174,-0.08321067608674321,0.6231743248291937,0.07710022394574764,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.02
ACE2_SARS2-RBD_enrich_6M17,0.1756769840520371,0.6013538452967108,0.030751695208381214,0.5595280894388498,0.1220269181935278,0.0,0.1,0.0,0.1,0.1,0.1,0.09,0.15,-0.1,-0.1,0.0,-0.06
CD19_FMC63_Fitness_7URV,0.34963246276612936,0.5457123494370621,0.028430536234417634,0.7321591486215274,0.11853322236207779,0.2,0.0,0.15,0.0,0.16,0.0,0.17,0.0,0.2,0.15,0.16,0.17
