DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.21154540747220535,0.7371319752629849,0.3108974358974359,0.7976824486142575,0.3621913440405551,0.7,0.0,0.5,0.0,0.64,0.0,0.62,0.0,0.7,0.5,0.64,0.62
5A12_Ang2_fitness_4ZFG,-0.018686072423499386,0.4863554646333148,0.005145372264583721,0.5149725669596241,0.10315893863616951,0.1,0.2,0.15,0.25,0.1,0.14,0.10638297872340426,0.13829787234042554,-0.1,-0.1,-0.04000000000000001,-0.03191489361702128
5A12_VEGF_fitness_4ZFF,-0.2112646063246262,0.4560369687030204,-0.009322319042959876,0.4874835363832998,0.09161405063058653,0.0,0.0,0.05,0.0,0.14,0.0,0.13,0.02,0.0,0.05,0.14,0.11
Z-domain_ZpA963_HL1_fitness_2M5A,0.4741892683398205,0.8593669242999908,0.40803516122796013,0.8403957295211645,0.5124209242241123,0.7,0.0,0.85,0.0,0.82,0.0,0.78,0.0,0.7,0.85,0.82,0.78
Z-domain_ZpA963_HL2_fitness_2M5A,0.3705465118110471,0.6349382716049383,0.07407407407407407,0.6425580671045903,0.16154383800934877,0.2,0.0,0.2,0.0,0.16,0.04,0.16666666666666666,0.03333333333333333,0.2,0.2,0.12,0.13333333333333333
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.07662734613945114,0.4861848550257865,-0.06756347193278911,0.5263196865623111,0.08893177311794456,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,-0.01
Z-domain_ZSPA-1_LL2_fitness_1LP1,-0.047780340885518656,0.5725424937046364,-0.08144662329227578,0.31260074472825133,0.11040766263671999,0.0,0.1,0.0,0.2,0.0,0.16,0.01,0.15,-0.1,-0.2,-0.16,-0.13999999999999999
CXCR4_CXCL12_enrich_8U4O,0.11979592943802297,0.4298041952864782,-0.02971880746059667,0.5820318790502379,0.08543006323331048,0.1,0.0,0.05,0.0,0.06,0.02,0.08,0.01,0.1,0.05,0.039999999999999994,0.07
hYAP65_peptide_FunctioncalScore_1JMQ,0.2390508027355367,0.6522616101524802,0.045187609970304285,0.6323176156910892,0.1426758526209262,0.1,0.0,0.15,0.0,0.22,0.0,0.2,0.02,0.1,0.15,0.22,0.18000000000000002
GB1_IgG-Fc_fitness_1FCC,0.30771242632066653,0.6020928756070448,0.0561128980238762,0.6649159992934314,0.13173251408609313,0.2,0.0,0.15,0.0,0.22,0.0,0.21,0.0,0.2,0.15,0.22,0.21
GB1_IgG-Fc_fitness_1FCC_2016,0.3896973970780133,0.735764639105512,0.1844341105500993,0.7842732526011166,0.22606117273530893,0.5,0.0,0.45,0.0,0.4,0.0,0.38,0.0,0.5,0.45,0.4,0.38
SARS2-RBD_ACE2_deltaKd_6M0J,0.5460697795343109,0.7969268185038415,0.2682010129330441,0.7937666938469747,0.31647065874184843,0.6,0.0,0.65,0.0,0.56,0.0,0.53,0.0,0.6,0.65,0.56,0.53
KRAS_DARPinK27_norfitness_5O2S,0.5721767165798729,0.7080161537770451,0.1720357225807312,0.8322738628994718,0.21548556071880004,0.7,0.0,0.6,0.0,0.54,0.0,0.49,0.0,0.7,0.6,0.54,0.49
KRAS_PICK3CG-RBD_norfitness_1HE8,0.6170809555377702,0.7213107480462652,0.1207926618380069,0.8143278482422046,0.1867853086528169,0.0,0.0,0.1,0.0,0.18,0.0,0.21,0.0,0.0,0.1,0.18,0.21
KRAS_RAF1_norfitness_6VJJ,0.5588536504208834,0.788799029102322,0.2691711093101826,0.813149412313583,0.2930967186853533,0.5,0.0,0.55,0.0,0.5,0.0,0.46,0.0,0.5,0.55,0.5,0.46
KRAS_RAF1-RBD_norfitness_6VJJ,0.6011958273050377,0.769246497748917,0.2653053297490479,0.8544480995724018,0.28702780956857527,0.6,0.0,0.55,0.0,0.64,0.0,0.57,0.0,0.6,0.55,0.64,0.57
KRAS_RALGDS-RBD_norfitness_1LFD,0.6366670902259993,0.7781714378802826,0.23686639951973923,0.8525784189087547,0.27133967120728564,0.7,0.0,0.7,0.0,0.56,0.0,0.55,0.0,0.7,0.7,0.56,0.55
KRAS_SOS1_norfitness_8BE4,0.5375108922015384,0.7052517454465186,0.1370485739821028,0.8066676273752705,0.18827782519985475,0.4,0.0,0.25,0.0,0.2,0.0,0.21,0.0,0.4,0.25,0.2,0.21
BH3_Mcl-1_normed_3KZ0,0.4293170291202514,0.7086909871244635,0.14493232089798613,0.7306787980231356,0.21370032944614525,0.4,0.0,0.3,0.05,0.22,0.1,0.23529411764705882,0.09803921568627451,0.4,0.25,0.12,0.13725490196078433
BH3_Bcl-xL_normed_1PQ1,0.6478537932233664,0.8258913832948167,0.33732254869593925,0.8826571727189149,0.39242727363245883,0.5,0.0,0.5,0.0,0.36,0.0,0.37254901960784315,0.0,0.5,0.5,0.36,0.37254901960784315
HLA-A2_TAPBPR_meanscore_5WER,0.3515787920872727,0.6125181668923578,0.08771198841287084,0.6930540973542823,0.14525922655171386,0.2,0.0,0.15,0.0,0.2,0.0,0.23,0.0,0.2,0.15,0.2,0.23
PSD95_CRIPT_1BE9,0.5333478278937097,0.6408194396124923,0.07856754177036779,0.7169383193943998,0.1563076423649803,0.3,0.0,0.2,0.0,0.22,0.0,0.2,0.0,0.3,0.2,0.22,0.2
PSD95_Tm2F_1BE9,0.2787747114568563,0.414514589521949,-0.06914300496873356,0.6037284277940075,0.07865294944029409,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04
ACE2_SARS2-RBD_enrich_6M17,0.1874854117724648,0.7066494418173841,0.06627388438922588,0.5884430003337567,0.16850836159659363,0.1,0.1,0.1,0.05,0.18,0.08,0.17,0.11,0.0,0.05,0.09999999999999999,0.06000000000000001
CD19_FMC63_Fitness_7URV,-0.4349002925940205,0.29041639053320906,-0.08689717462123822,0.39103714954843993,0.06399761077232788,0.0,0.1,0.0,0.15,0.02,0.1,0.01,0.1,-0.1,-0.15,-0.08,-0.09000000000000001
