DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.08683077164112482,0.54761978139382,0.05982905982905983,0.5665153767493137,0.1229862982745042,0.2,0.1,0.1,0.1,0.16,0.14,0.15,0.12,0.1,0.0,0.01999999999999999,0.03
5A12_Ang2_fitness_4ZFG,0.018068853157734908,0.5489058334883145,-0.006558799826421177,0.4969168858869441,0.1120904555992553,0.1,0.2,0.1,0.1,0.08,0.18,0.09574468085106383,0.1595744680851064,-0.1,0.0,-0.09999999999999999,-0.06382978723404256
5A12_VEGF_fitness_4ZFF,0.1013535090055863,0.4928140942015481,-0.010436981998433226,0.5944896800281475,0.09745259442940585,0.1,0.0,0.15,0.0,0.14,0.0,0.12,0.0,0.1,0.15,0.14,0.12
Z-domain_ZpA963_HL1_fitness_2M5A,0.19098651164747613,0.6530669412651257,0.06049451394889155,0.6114235143112758,0.14758089765354682,0.1,0.1,0.1,0.05,0.14,0.1,0.16,0.07,0.0,0.05,0.04000000000000001,0.09
Z-domain_ZpA963_HL2_fitness_2M5A,0.18019881111333122,0.6511111111111112,0.12962962962962962,0.6169608831651745,0.16326904316657725,0.1,0.0,0.15,0.0,0.18,0.0,0.21666666666666667,0.0,0.1,0.15,0.18,0.21666666666666667
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.14160324308797062,0.5791272715233303,-0.0054844535683559285,0.5631545612256599,0.1127030625770578,0.0,0.0,0.0,0.05,0.02,0.04,0.01,0.06,0.0,-0.05,-0.02,-0.049999999999999996
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.18217308139174787,0.6806336739286487,0.015963090938094643,0.4766423977789209,0.14137035957040528,0.1,0.7,0.05,0.55,0.06,0.42,0.04,0.4,-0.6,-0.5,-0.36,-0.36000000000000004
CXCR4_CXCL12_enrich_8U4O,0.0756654236612456,0.5267350386220633,0.023953794472677675,0.5636771927240747,0.11391669773248586,0.2,0.0,0.1,0.1,0.14,0.1,0.17,0.11,0.2,0.0,0.04000000000000001,0.06000000000000001
hYAP65_peptide_FunctioncalScore_1JMQ,0.11948460173941766,0.5731997691914678,0.04458406231541826,0.6100512094349667,0.12415365560945142,0.0,0.0,0.15,0.0,0.16,0.02,0.11,0.01,0.0,0.15,0.14,0.1
GB1_IgG-Fc_fitness_1FCC,0.4261535659213558,0.7121435838042992,0.1466619458246525,0.61796699491004,0.20444651216898954,0.4,0.2,0.35,0.25,0.6,0.14,0.54,0.09,0.2,0.09999999999999998,0.45999999999999996,0.45000000000000007
GB1_IgG-Fc_fitness_1FCC_2016,0.2925962783483784,0.6133048698931417,0.11379848990363985,0.759598218683084,0.1811125098906903,1.0,0.0,0.9,0.0,0.66,0.0,0.58,0.0,1.0,0.9,0.66,0.58
SARS2-RBD_ACE2_deltaKd_6M0J,0.3480162262864389,0.692764068070765,0.04424309947258086,0.5843891290244108,0.1530577927004032,0.0,0.1,0.05,0.05,0.08,0.08,0.13,0.07,-0.1,0.0,0.0,0.06
KRAS_DARPinK27_norfitness_5O2S,0.1862255737200308,0.655430350592206,0.10550287885953993,0.6048093113224566,0.15990284587836157,0.3,0.0,0.25,0.0,0.18,0.0,0.16,0.03,0.3,0.25,0.18,0.13
KRAS_PICK3CG-RBD_norfitness_1HE8,0.2112662190067177,0.6075120903750452,0.0669990549636218,0.6070889157811711,0.1379898706807343,0.0,0.1,0.05,0.05,0.16,0.12,0.17,0.06,-0.1,0.0,0.04000000000000001,0.11000000000000001
