DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.39410484967660453,0.8908882416995397,0.47115384615384615,0.9197620541408745,0.43431255070551295,0.5,0.0,0.35,0.15,0.44,0.12,0.48,0.07,0.5,0.19999999999999998,0.32,0.41
5A12_Ang2_fitness_4ZFG,0.12497350318383672,0.6276238298927531,0.1807079536296572,0.7059096481174262,0.19495632515134464,0.4,0.0,0.35,0.0,0.28,0.12,0.2553191489361702,0.10638297872340426,0.4,0.35,0.16000000000000003,0.14893617021276595
5A12_VEGF_fitness_4ZFF,0.2672360604937457,0.6019472523513114,0.046410828730707586,0.6259306207702531,0.12830546238850477,0.0,0.2,0.05,0.1,0.04,0.08,0.09,0.07,-0.2,-0.05,-0.04,0.01999999999999999
Z-domain_ZpA963_HL1_fitness_2M5A,0.06701207806359791,0.6002810425798578,0.033760618004347806,0.5294350556803546,0.12902532361596802,0.2,0.0,0.15,0.0,0.14,0.04,0.11,0.07,0.2,0.15,0.1,0.039999999999999994
Z-domain_ZpA963_HL2_fitness_2M5A,0.26467321477763045,0.7089814814814814,0.18518518518518517,0.6541086543943064,0.2394936633300056,0.3,0.2,0.25,0.1,0.28,0.16,0.26666666666666666,0.15,0.09999999999999998,0.15,0.12000000000000002,0.11666666666666667
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.05183034429092033,0.4956003631022183,-0.019659977446848543,0.5662749668672381,0.09498226226482875,0.1,0.3,0.05,0.3,0.04,0.18,0.03,0.16,-0.19999999999999998,-0.25,-0.13999999999999999,-0.13
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.2534764817515681,0.7431370566183927,0.18891503253079317,0.7707831973901309,0.22241834914404734,0.4,0.1,0.35,0.15,0.28,0.08,0.27,0.07,0.30000000000000004,0.19999999999999998,0.2,0.2
CXCR4_CXCL12_enrich_8U4O,0.1176937902408692,0.546543127792723,0.04979615836647643,0.6043833290633702,0.1251948008870502,0.3,0.0,0.35,0.0,0.24,0.06,0.22,0.08,0.3,0.35,0.18,0.14
hYAP65_peptide_FunctioncalScore_1JMQ,0.06460218768954898,0.5528950974696509,-0.006113940695008061,0.5002935849087335,0.10733641621478182,0.0,0.1,0.0,0.1,0.02,0.16,0.02,0.14,-0.1,-0.1,-0.14,-0.12000000000000001
GB1_IgG-Fc_fitness_1FCC,0.5209990074777491,0.6785701337900496,0.05994059885561311,0.6602467813599279,0.15179854322427175,0.1,0.2,0.15,0.3,0.12,0.28,0.12,0.25,-0.1,-0.15,-0.16000000000000003,-0.13
