DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.2501353236576591,0.7569906722550953,0.27350427350427353,0.7757096686967181,0.2918853498111905,0.4,0.1,0.45,0.05,0.48,0.02,0.4,0.03,0.30000000000000004,0.4,0.45999999999999996,0.37
5A12_Ang2_fitness_4ZFG,0.1332810805767901,0.6521604364267559,0.1221870931746327,0.6470652266576906,0.17773246349974114,0.2,0.1,0.25,0.1,0.26,0.04,0.2127659574468085,0.0425531914893617,0.1,0.15,0.22,0.1702127659574468
5A12_VEGF_fitness_4ZFF,0.020187147086926333,0.4703531253494353,-0.03607422997432026,0.44911714255409046,0.08888371481845848,0.0,0.7,0.0,0.45,0.02,0.36,0.05,0.31,-0.7,-0.45,-0.33999999999999997,-0.26
Z-domain_ZpA963_HL1_fitness_2M5A,-0.07773603987379914,0.5060502404709206,-0.0006115339243512809,0.5231488230666577,0.10393664696402544,0.0,0.0,0.0,0.05,0.1,0.1,0.13,0.12,0.0,-0.05,0.0,0.010000000000000009
Z-domain_ZpA963_HL2_fitness_2M5A,0.21341445985723467,0.6397530864197531,0.05555555555555555,0.5773382237606456,0.14630971320320205,0.1,0.0,0.05,0.05,0.14,0.12,0.15,0.13333333333333333,0.1,0.0,0.020000000000000018,0.016666666666666663
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.029979566976638693,0.45458797205998136,-0.057542842984199497,0.5337409754283924,0.08418590276466596,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0
Z-domain_ZSPA-1_LL2_fitness_1LP1,-0.06102223354294409,0.5463960823467748,-0.049639369666032385,0.3434472927883979,0.10385245403595306,0.0,0.3,0.0,0.3,0.0,0.18,0.0,0.22,-0.3,-0.3,-0.18,-0.22
CXCR4_CXCL12_enrich_8U4O,0.09466169232529814,0.4322435677945169,-0.013815814295182048,0.567952399199736,0.08714733092520241,0.1,0.0,0.1,0.0,0.06,0.04,0.08,0.03,0.1,0.1,0.019999999999999997,0.05
hYAP65_peptide_FunctioncalScore_1JMQ,0.17387265068842261,0.6083108023521276,0.00656056005759852,0.5556068507189982,0.12027857216419985,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.01,0.0,0.0,0.02,0.019999999999999997
GB1_IgG-Fc_fitness_1FCC,-0.0945414321026456,0.404045711883795,-0.04233078274235747,0.4851396249565682,0.07969447278459454,0.0,0.3,0.0,0.35,0.0,0.28,0.01,0.31,-0.3,-0.35,-0.28,-0.3
GB1_IgG-Fc_fitness_1FCC_2016,-0.030140426435419476,0.476383498222733,-0.014447743326811372,0.5314794355011989,0.09413239537170166,0.0,0.1,0.0,0.15,0.02,0.1,0.01,0.12,-0.1,-0.15,-0.08,-0.11
