DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.34044841549429133,0.8312813321827744,0.391025641025641,0.8687703601551109,0.4081430970304813,0.7,0.0,0.8,0.0,0.62,0.0,0.52,0.0,0.7,0.8,0.62,0.52
5A12_Ang2_fitness_4ZFG,0.11915670588599776,0.6290992498915133,0.0987787489926229,0.5880787213906638,0.15106333041908887,0.0,0.2,0.05,0.15,0.1,0.1,0.18085106382978725,0.06382978723404255,-0.2,-0.09999999999999999,0.0,0.1170212765957447
5A12_VEGF_fitness_4ZFF,0.46282564341846166,0.6679449600556612,0.04789704600467205,0.6838673952834242,0.14756651456854653,0.1,0.0,0.05,0.0,0.08,0.0,0.09,0.0,0.1,0.05,0.08,0.09
Z-domain_ZpA963_HL1_fitness_2M5A,0.19976128227569087,0.6855650376191998,0.1521535857587558,0.668851401265172,0.20350243745080585,0.4,0.0,0.4,0.0,0.38,0.04,0.3,0.1,0.4,0.4,0.34,0.19999999999999998
Z-domain_ZpA963_HL2_fitness_2M5A,0.3373659187210498,0.6949691358024691,0.14814814814814814,0.6918198715015095,0.21276146280453595,0.2,0.0,0.35,0.0,0.26,0.0,0.23333333333333334,0.0,0.2,0.35,0.26,0.23333333333333334
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.1591128660085791,0.550552348695294,-0.02332606120852767,0.5799092032145117,0.10513185626006771,0.0,0.0,0.1,0.05,0.04,0.06,0.05,0.04,0.0,0.05,-0.019999999999999997,0.010000000000000002
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.2868682709703488,0.7566845510066884,0.18295117247587253,0.7568778467437356,0.23849571571778627,0.4,0.0,0.4,0.0,0.38,0.02,0.33,0.01,0.4,0.4,0.36,0.32
CXCR4_CXCL12_enrich_8U4O,0.17720375701330585,0.5542547269404818,0.01997804618132402,0.598297955422959,0.11620740109909124,0.2,0.0,0.1,0.0,0.1,0.04,0.1,0.02,0.2,0.1,0.060000000000000005,0.08
hYAP65_peptide_FunctioncalScore_1JMQ,0.11160247456131543,0.5741775872166855,0.013199584261344823,0.5151409805189132,0.11336132826678107,0.0,0.3,0.0,0.25,0.06,0.22,0.08,0.22,-0.3,-0.25,-0.16,-0.14
GB1_IgG-Fc_fitness_1FCC,0.369200083189184,0.6237881396784346,0.03984516948899433,0.6385459222122145,0.13075913161021868,0.0,0.0,0.05,0.05,0.04,0.06,0.05,0.05,0.0,0.0,-0.019999999999999997,0.0
GB1_IgG-Fc_fitness_1FCC_2016,0.38030908731259744,0.6958478562420216,0.157382170728051,0.81724986804938,0.19856335968084088,0.1,0.0,0.15,0.0,0.24,0.0,0.37,0.0,0.1,0.15,0.24,0.37
SARS2-RBD_ACE2_deltaKd_6M0J,0.6651782271639659,0.874819891952818,0.381449572347292,0.8294408095125997,0.3895037358685278,0.4,0.0,0.3,0.0,0.32,0.0,0.35,0.0,0.4,0.3,0.32,0.35
KRAS_DARPinK27_norfitness_5O2S,0.35370299348050716,0.6381512689346289,0.07707003966244967,0.6707086421565213,0.14604171651919512,0.3,0.0,0.25,0.05,0.22,0.08,0.2,0.04,0.3,0.2,0.14,0.16
KRAS_PICK3CG-RBD_norfitness_1HE8,0.4782633569044428,0.715955903362786,0.2052428403719878,0.7751842982573769,0.23502363038582824,0.7,0.0,0.65,0.0,0.58,0.02,0.46,0.01,0.7,0.65,0.5599999999999999,0.45
KRAS_RAF1_norfitness_6VJJ,0.3911933444687321,0.6827814625843287,0.10267531886526023,0.6979902025305967,0.17224402525198207,0.5,0.0,0.35,0.0,0.22,0.0,0.26,0.0,0.5,0.35,0.22,0.26
KRAS_RAF1-RBD_norfitness_6VJJ,0.3875519174614185,0.6755599652282767,0.11040560488543334,0.6927253032369843,0.16690151993092045,0.3,0.0,0.3,0.05,0.26,0.02,0.19,0.01,0.3,0.25,0.24000000000000002,0.18
KRAS_RALGDS-RBD_norfitness_1LFD,0.48413400487620384,0.7002503032110643,0.2029979075871865,0.7865565880099241,0.21627816038684006,0.3,0.0,0.4,0.0,0.34,0.0,0.34,0.01,0.3,0.4,0.34,0.33
