DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
CXCR4_CXCL12_enrich_8U4O,0.20300376581500842,0.5587745156314179,0.031905291055384984,0.6280766498064692,0.11898860746568113,0.1,0.0,0.1,0.0,0.06,0.02,0.1,0.03,0.1,0.1,0.039999999999999994,0.07
hYAP65_peptide_FunctioncalScore_1JMQ,0.23494759972954699,0.5523872679045093,-0.034880636604774536,0.4945932617295135,0.11245148344495305,0.1,0.0,0.05,0.05,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.1,0.0,0.03571428571428571,0.03571428571428571
GB1_IgG-Fc_fitness_1FCC,0.3745395909548709,0.6471636050807145,0.08956024492687617,0.6549654864358911,0.15927040795548128,0.3,0.0,0.2,0.0,0.16,0.0,0.18,0.0,0.3,0.2,0.16,0.18
SARS2-RBD_ACE2_deltaKd_6M0J,0.6527217810632886,0.8483778395428283,0.28154288694662644,0.7864141953959599,0.32737091366660975,0.5,0.0,0.45,0.0,0.4,0.0,0.36,0.0,0.5,0.45,0.4,0.36
KRAS_DARPinK27_norfitness_5O2S,0.28808658693920464,0.5643266543926201,0.03045858215344206,0.5989955179625007,0.12732031580863148,0.4,0.0,0.2,0.0,0.14,0.02,0.14,0.03,0.4,0.2,0.12000000000000001,0.11000000000000001
KRAS_PICK3CG-RBD_norfitness_1HE8,0.41149179521792745,0.6615826828895011,0.14562289562289563,0.7442226688453983,0.21047425208228257,0.4,0.0,0.35,0.0,0.42,0.0,0.34,0.0,0.4,0.35,0.42,0.34
KRAS_RAF1_norfitness_6VJJ,0.3571147071360623,0.6082266551480405,0.1128956255399356,0.7404362771298274,0.18134670084417803,0.4,0.0,0.35,0.0,0.18,0.02,0.19,0.03,0.4,0.35,0.16,0.16
KRAS_RAF1-RBD_norfitness_6VJJ,0.4116793988476066,0.6243078415215884,0.09683479488487068,0.7329449039514047,0.18102772175589796,0.6,0.0,0.5,0.0,0.32,0.0,0.23,0.0,0.6,0.5,0.32,0.23
KRAS_RALGDS-RBD_norfitness_1LFD,0.44645878280665885,0.6328683962668037,0.1283500299683192,0.734759691997153,0.17682529508808484,0.3,0.0,0.3,0.0,0.32,0.0,0.25,0.0,0.3,0.3,0.32,0.25
KRAS_SOS1_norfitness_8BE4,0.2959286018212649,0.6360311085882833,0.043570060636283096,0.6111866476953054,0.14886856148451713,0.2,0.2,0.25,0.2,0.18,0.1,0.12,0.07,0.0,0.04999999999999999,0.07999999999999999,0.04999999999999999
BH3_Mcl-1_normed_3KZ0,0.5916792665658676,0.8838808250572956,0.4121466768525592,0.9118049846950658,0.45957614117743184,0.6,0.0,0.47058823529411764,0.0,0.47058823529411764,0.0,0.47058823529411764,0.0,0.6,0.47058823529411764,0.47058823529411764,0.47058823529411764
BH3_Bcl-xL_normed_1PQ1,0.6938392492860058,0.8029029793735676,0.2815126050420168,0.8692428232744547,0.312130907020971,0.3,0.0,0.35294117647058826,0.0,0.35294117647058826,0.0,0.35294117647058826,0.0,0.3,0.35294117647058826,0.35294117647058826,0.35294117647058826
HLA-A2_TAPBPR_meanscore_5WER,0.4069023493652398,0.6542858985233354,0.10429904316900046,0.6786002799070177,0.1576551171427591,0.1,0.0,0.15,0.0,0.18,0.0,0.19,0.01,0.1,0.15,0.18,0.18
PSD95_CRIPT_1BE9,0.3862723195276673,0.547519647460772,0.02933069285733401,0.653863353783496,0.11620027713689166,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.01,0.0,0.0,0.1,0.13999999999999999
PSD95_Tm2F_1BE9,0.20732429356237578,0.5044379621948064,0.008229186180319533,0.5676499764155363,0.1031957664289444,0.0,0.0,0.0,0.0,0.04,0.0,0.1,0.0,0.0,0.0,0.04,0.1
ACE2_SARS2-RBD_enrich_6M17,0.26514201727613607,0.500677851211659,-0.019994289335682598,0.6039101510445682,0.10187311562101964,0.2,0.0,0.1,0.0,0.08,0.0,0.07,0.04,0.2,0.1,0.08,0.030000000000000006
CD19_FMC63_Fitness_7URV,0.3588606896134122,0.8143021768050366,0.38953286390943676,0.769602883393825,0.4036932319521899,0.6,0.1,0.5,0.05,0.64,0.02,0.54,0.02,0.5,0.45,0.62,0.52
