DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.2357664189106085,0.7597014197074292,0.34294871794871795,0.8243107422719114,0.38093100151975273,0.7,0.0,0.6,0.0,0.68,0.0,0.63,0.0,0.7,0.6,0.68,0.63
5A12_Ang2_fitness_4ZFG,0.09371467658690814,0.5990453164713905,0.087074576901618,0.585088356618523,0.14439752573504355,0.2,0.0,0.15,0.05,0.14,0.06,0.18085106382978725,0.0851063829787234,0.2,0.09999999999999999,0.08000000000000002,0.09574468085106384
5A12_VEGF_fitness_4ZFF,0.10351995039788424,0.5098536098997354,-0.004120558584084246,0.5343659140163763,0.09962838965398563,0.1,0.2,0.05,0.15,0.08,0.18,0.06,0.13,-0.1,-0.09999999999999999,-0.09999999999999999,-0.07
Z-domain_ZpA963_HL1_fitness_2M5A,0.4415752916332149,0.8462445898974595,0.4003969052438048,0.8418819551023702,0.4910335312912145,0.8,0.0,0.8,0.0,0.88,0.0,0.8,0.0,0.8,0.8,0.88,0.8
Z-domain_ZpA963_HL2_fitness_2M5A,0.39512230298201684,0.6510493827160494,0.1111111111111111,0.6820586086482647,0.1732043559166399,0.3,0.0,0.2,0.0,0.2,0.02,0.2,0.016666666666666666,0.3,0.2,0.18000000000000002,0.18333333333333335
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.10163946571491704,0.504787289775003,-0.06536382167578163,0.5289586840122625,0.09238344025858655,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.0,0.0,-0.02,-0.019999999999999997
Z-domain_ZSPA-1_LL2_fitness_1LP1,-0.034852964296118664,0.5786726396659184,-0.08741048334719642,0.3175617389681804,0.1110341263259797,0.0,0.2,0.0,0.2,0.02,0.16,0.01,0.19,-0.2,-0.2,-0.14,-0.18
CXCR4_CXCL12_enrich_8U4O,0.12635027614738192,0.43341155508351203,-0.025743059169243014,0.58449288923062,0.08597715750276692,0.1,0.0,0.05,0.0,0.06,0.0,0.07,0.01,0.1,0.05,0.06,0.060000000000000005
hYAP65_peptide_FunctioncalScore_1JMQ,0.22352933180228537,0.644052089831709,0.04398051466053223,0.6294346931616223,0.13926438808669453,0.2,0.0,0.2,0.0,0.22,0.0,0.16,0.01,0.2,0.2,0.22,0.15
GB1_IgG-Fc_fitness_1FCC,0.31098723029963626,0.5872291890703227,0.05910328929867066,0.6736492057826069,0.13085736536411063,0.2,0.0,0.15,0.0,0.22,0.0,0.2,0.0,0.2,0.15,0.22,0.2
GB1_IgG-Fc_fitness_1FCC_2016,0.3156705460546783,0.6820889580472463,0.1533744759395994,0.7650017257497002,0.19637567570784314,0.5,0.0,0.5,0.0,0.48,0.0,0.42,0.0,0.5,0.5,0.48,0.42
SARS2-RBD_ACE2_deltaKd_6M0J,0.6060670113138771,0.8307809087420364,0.35758104188778683,0.8382427740068258,0.37972598439857064,0.6,0.0,0.7,0.0,0.76,0.0,0.68,0.0,0.6,0.7,0.76,0.68
KRAS_DARPinK27_norfitness_5O2S,0.579867689761723,0.71753951732326,0.18113423112380006,0.8331262915373214,0.22181933850947805,0.7,0.0,0.65,0.0,0.54,0.0,0.43,0.0,0.7,0.65,0.54,0.43
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5934215438883964,0.7189250839234113,0.11963581007726744,0.8074984097521367,0.18546349655218897,0.0,0.0,0.0,0.0,0.14,0.0,0.17,0.0,0.0,0.0,0.14,0.17
KRAS_RAF1_norfitness_6VJJ,0.6177219585730256,0.8037676340528108,0.28319180745291295,0.8282144893040827,0.3046223931182587,0.5,0.0,0.55,0.0,0.5,0.0,0.43,0.0,0.5,0.55,0.5,0.43
KRAS_RAF1-RBD_norfitness_6VJJ,0.6229142723330989,0.7684471663498996,0.27921273538695757,0.8596855855141755,0.29451849166658184,0.4,0.0,0.6,0.0,0.58,0.0,0.57,0.0,0.4,0.6,0.58,0.57
KRAS_RALGDS-RBD_norfitness_1LFD,0.6621097897605969,0.7793753527123083,0.2417827935099485,0.8553366311014862,0.27191393629762506,0.6,0.0,0.7,0.0,0.56,0.0,0.48,0.0,0.6,0.7,0.56,0.48
KRAS_SOS1_norfitness_8BE4,0.4795957580697401,0.6849929989013623,0.14791409889551568,0.7765973802021233,0.1838803638614625,0.1,0.0,0.15,0.0,0.16,0.0,0.21,0.0,0.1,0.15,0.16,0.21
BH3_Mcl-1_normed_3KZ0,0.42112759650577886,0.7071228128095082,0.10217893694288543,0.7325536160510058,0.2040749303874348,0.3,0.0,0.25,0.05,0.2,0.08,0.19607843137254902,0.0784313725490196,0.3,0.2,0.12000000000000001,0.11764705882352941
BH3_Bcl-xL_normed_1PQ1,0.6563232145571342,0.8225899636843843,0.31594585671838893,0.857498529580824,0.38156148737699014,0.6,0.0,0.5,0.0,0.36,0.0,0.35294117647058826,0.0,0.6,0.5,0.36,0.35294117647058826
HLA-A2_TAPBPR_meanscore_5WER,0.15731023466602406,0.5614479943254812,0.0412682350957079,0.5930078064962565,0.12326764305164223,0.3,0.0,0.2,0.0,0.16,0.02,0.14,0.03,0.3,0.2,0.14,0.11000000000000001
PSD95_CRIPT_1BE9,0.5850894274302356,0.6711626122871339,0.09263521288837745,0.7288682043244137,0.16303017900833724,0.2,0.0,0.15,0.0,0.2,0.0,0.18,0.0,0.2,0.15,0.2,0.18
PSD95_Tm2F_1BE9,0.29174325871779844,0.385741429603661,-0.06914300496873356,0.6008543206950541,0.07493064704315378,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
ACE2_SARS2-RBD_enrich_6M17,0.1438035185818676,0.7177318448463575,0.09164687666125779,0.5833157333924203,0.17624054399477757,0.1,0.1,0.15,0.05,0.16,0.12,0.16,0.12,0.0,0.09999999999999999,0.04000000000000001,0.04000000000000001
CD19_FMC63_Fitness_7URV,-0.14916161265025205,0.5010420059832036,-0.0032845842508877282,0.45884907750420867,0.09884345166100753,0.1,0.1,0.05,0.1,0.08,0.18,0.13,0.17,0.0,-0.05,-0.09999999999999999,-0.04000000000000001
