DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.2553138190856445,0.7858650764299802,0.3856837606837607,0.86168666760499,0.4135614774342345,0.8,0.0,0.55,0.0,0.68,0.0,0.64,0.01,0.8,0.55,0.68,0.63
5A12_Ang2_fitness_4ZFG,0.09088234238423376,0.6032979976442874,0.06366623271960821,0.6135250880861257,0.150638124184991,0.2,0.1,0.2,0.05,0.16,0.02,0.1595744680851064,0.02127659574468085,0.1,0.15000000000000002,0.14,0.13829787234042554
5A12_VEGF_fitness_4ZFF,0.10153491310463149,0.5204844881782151,-0.0015196783546464316,0.5423681456251249,0.10252950037719383,0.1,0.3,0.1,0.15,0.08,0.12,0.08,0.11,-0.19999999999999998,-0.04999999999999999,-0.039999999999999994,-0.03
Z-domain_ZpA963_HL1_fitness_2M5A,0.33641023096796757,0.786871879039905,0.30491870544186284,0.8010253508311611,0.4102232362864791,1.0,0.0,0.9,0.0,0.84,0.0,0.64,0.03,1.0,0.9,0.84,0.61
Z-domain_ZpA963_HL2_fitness_2M5A,0.37866514569943666,0.6493518518518518,0.12962962962962962,0.717234373967924,0.17786911196808997,0.3,0.0,0.25,0.0,0.2,0.0,0.21666666666666667,0.0,0.3,0.25,0.2,0.21666666666666667
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.1608270562316912,0.5512956670320959,-0.05094389221317707,0.541347541842593,0.10205266311147089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.02
Z-domain_ZSPA-1_LL2_fitness_1LP1,-0.02757936415883723,0.5779207923612456,-0.0973502501053975,0.2972132758646476,0.11049555056739994,0.0,0.2,0.0,0.3,0.0,0.18,0.0,0.16,-0.2,-0.3,-0.18,-0.16
CXCR4_CXCL12_enrich_8U4O,0.1283398184181051,0.4425993776903928,-0.025743059169243014,0.5635984417203322,0.08730417983320517,0.1,0.0,0.05,0.0,0.14,0.02,0.08,0.02,0.1,0.05,0.12000000000000001,0.06
hYAP65_peptide_FunctioncalScore_1JMQ,0.23023899348411225,0.641062943590476,0.0958856129807306,0.6860117188741932,0.15892574964585035,0.6,0.0,0.4,0.0,0.34,0.0,0.29,0.0,0.6,0.4,0.34,0.29
GB1_IgG-Fc_fitness_1FCC,0.2312275828089743,0.5473840260198235,0.02287280290642995,0.63695046752918,0.1157204725679282,0.3,0.0,0.25,0.0,0.22,0.0,0.25,0.0,0.3,0.25,0.22,0.25
GB1_IgG-Fc_fitness_1FCC_2016,0.3321869981175478,0.699568135013194,0.1603879418193897,0.7723827819081284,0.2044710496391894,0.4,0.0,0.5,0.0,0.46,0.0,0.38,0.0,0.4,0.5,0.46,0.38
SARS2-RBD_ACE2_deltaKd_6M0J,0.6093362877081772,0.8360909267709518,0.3504712668572959,0.83190263440913,0.3989411206378425,0.9,0.0,0.9,0.0,0.84,0.0,0.75,0.0,0.9,0.9,0.84,0.75
KRAS_DARPinK27_norfitness_5O2S,0.4955398746091638,0.692812205034585,0.1532700487106516,0.7982056463413085,0.20620817820227172,0.8,0.0,0.7,0.0,0.5,0.0,0.45,0.0,0.8,0.7,0.5,0.45
KRAS_PICK3CG-RBD_norfitness_1HE8,0.5740522086279893,0.724955135321173,0.1763215463535012,0.8259510899563896,0.2048867147996682,0.1,0.0,0.15,0.0,0.16,0.0,0.21,0.0,0.1,0.15,0.16,0.21
KRAS_RAF1_norfitness_6VJJ,0.6052726889019313,0.8062150280936545,0.295459918327802,0.826860185229808,0.32706581379873567,0.8,0.0,0.8,0.0,0.52,0.0,0.51,0.0,0.8,0.8,0.52,0.51
KRAS_RAF1-RBD_norfitness_6VJJ,0.5552267426842871,0.7370694957220159,0.2537957526693985,0.8352437848907246,0.2694553306655091,0.6,0.0,0.5,0.0,0.52,0.0,0.48,0.0,0.6,0.5,0.52,0.48
KRAS_RALGDS-RBD_norfitness_1LFD,0.6042258831010555,0.7431285855000416,0.24615292150124563,0.8438939580880671,0.25897207454693766,0.2,0.0,0.45,0.0,0.46,0.0,0.51,0.0,0.2,0.45,0.46,0.51
KRAS_SOS1_norfitness_8BE4,0.40619563994291025,0.6597543489037146,0.12046435174584101,0.7425886318956535,0.1718842818238461,0.3,0.0,0.25,0.0,0.36,0.0,0.25,0.02,0.3,0.25,0.36,0.23
BH3_Mcl-1_normed_3KZ0,0.4287593827625804,0.7299438758666227,0.12355562892043578,0.7430236404422289,0.21690511976152396,0.3,0.0,0.3,0.0,0.22,0.06,0.21568627450980393,0.058823529411764705,0.3,0.3,0.16,0.1568627450980392
BH3_Bcl-xL_normed_1PQ1,0.6600201362223254,0.8260977220204688,0.27319247276328823,0.8122585152024556,0.33149994031288055,0.6,0.0,0.5,0.0,0.34,0.0,0.3333333333333333,0.0,0.6,0.5,0.34,0.3333333333333333
HLA-A2_TAPBPR_meanscore_5WER,0.132517372886462,0.5000009920487294,-0.018445162026358736,0.5975763870149627,0.09785616054117388,0.0,0.0,0.1,0.0,0.06,0.04,0.08,0.03,0.0,0.1,0.019999999999999997,0.05
PSD95_CRIPT_1BE9,0.5274577805554104,0.6534085333761519,0.03636452841633884,0.6955309156231878,0.1408797861392163,0.0,0.0,0.1,0.0,0.14,0.0,0.1,0.0,0.0,0.1,0.14,0.1
PSD95_Tm2F_1BE9,0.2642770894708708,0.40145493795773457,-0.08321067608674321,0.5759324440013117,0.0777917487723242,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.02,0.03
ACE2_SARS2-RBD_enrich_6M17,0.1293633576776364,0.7032427751971455,0.12209446738769607,0.6062008334257023,0.17258285730754258,0.2,0.2,0.2,0.2,0.14,0.12,0.17,0.11,0.0,0.0,0.020000000000000018,0.06000000000000001
CD19_FMC63_Fitness_7URV,-0.17767304289358526,0.4794770125916856,-0.006167777022279125,0.444973260383265,0.10042133243646839,0.2,0.2,0.2,0.1,0.2,0.08,0.19,0.13,0.0,0.1,0.12000000000000001,0.06
